0          References for Cross Section of 34SO        32S/O 
           Sarka et al., 2019    
                                                                                
0 Branching ratio for 34SO       Total        1 branch
Lambda  Total   34S/O 
1913.658153  5.49E-18  5.49E-18
1913.68231  1.02E-17  1.02E-17
1913.71492  8.53E-18  8.53E-18
1913.73266  4.40E-18  4.40E-18
1913.741025  3.58E-18  3.58E-18
1913.748991  4.70E-18  4.70E-18
1913.759585  8.83E-18  8.83E-18
1913.770604  5.95E-18  5.95E-18
1913.78149  1.39E-17  1.39E-17
1913.793642  1.93E-17  1.93E-17
1913.802334  8.15E-18  8.15E-18
1913.811073  1.33E-17  1.33E-17
1913.820609  4.40E-18  4.40E-18
1913.862556  3.04E-18  3.04E-18
1913.909889  6.42E-18  6.42E-18
1913.918096  8.35E-18  8.35E-18
1913.92454  2.57E-17  2.57E-17
1913.93398  1.36E-17  1.36E-17
1913.947925  3.61E-18  3.61E-18
1913.961532  7.41E-18  7.41E-18
1913.981785  2.60E-18  2.60E-18
1913.996081  5.15E-18  5.15E-18
1914.011869  2.74E-18  2.74E-18
1914.027388  2.62E-17  2.62E-17
1914.033616  1.41E-17  1.41E-17
1914.038196  1.42E-17  1.42E-17
1914.043149  3.34E-17  3.34E-17
1914.048977  1.09E-17  1.09E-17
1914.05492  4.29E-18  4.29E-18
1914.060848  1.67E-17  1.67E-17
1914.067254  2.20E-17  2.20E-17
1914.075898  3.08E-18  3.08E-18
1914.096001  3.02E-18  3.02E-18
1914.101088  1.17E-17  1.17E-17
1914.105702  4.10E-17  4.10E-17
1914.11024  2.68E-17  2.68E-17
1914.115177  3.93E-18  3.93E-18
1914.125412  2.70E-18  2.70E-18
1914.133112  5.49E-18  5.49E-18
1914.138961  1.36E-17  1.36E-17
1914.144975  8.92E-18  8.92E-18
1914.158245  7.85E-18  7.85E-18
1914.174788  8.87E-18  8.87E-18
1914.189268  8.81E-18  8.81E-18
1914.201003  1.16E-17  1.16E-17
1914.212018  8.17E-18  8.17E-18
1914.226777  6.87E-18  6.87E-18
1914.247025  1.09E-17  1.09E-17
1914.258634  4.34E-18  4.34E-18
1914.266906  7.49E-18  7.49E-18
1914.273989  1.66E-17  1.66E-17
1914.279761  1.09E-17  1.09E-17
1914.285685  2.56E-17  2.56E-17
1914.290946  2.82E-17  2.82E-17
1914.295549  2.32E-17  2.32E-17
1914.300601  1.49E-17  1.49E-17
1914.305825  8.24E-18  8.24E-18
1914.312675  1.85E-17  1.85E-17
1914.331668  8.83E-18  8.83E-18
1914.354066  6.75E-18  6.75E-18
1914.368482  1.48E-17  1.48E-17
1914.376351  1.02E-17  1.02E-17
1914.387609  4.88E-18  4.88E-18
1914.406136  8.45E-18  8.45E-18
1914.421696  8.20E-18  8.20E-18
1914.442641  3.01E-18  3.01E-18
1914.45079  1.13E-17  1.13E-17
1914.456602  4.16E-17  4.16E-17
1914.461354  3.81E-17  3.81E-17
1914.465839  7.87E-18  7.87E-18
1914.470637  1.72E-17  1.72E-17
1914.477301  2.38E-17  2.38E-17
1914.486388  4.61E-18  4.61E-18
1914.507658  3.43E-18  3.43E-18
1914.531719  1.45E-17  1.45E-17
1914.543933  2.85E-18  2.85E-18
